file_name,genre,ploss_quant,ploss_aac,ploss_aac_to_quant_ratio
walking-on-leafs-forestReverbHall.wav,walking_on_leaf,20.363134384155273,2.1239776611328125,0.10430504563116264
walking-on-leafs-forestOperaHall.wav,walking_on_leaf,23.591611862182617,2.262626886367798,0.09590810918667204
walking-on-leafs-forest.wav,walking_on_leaf,23.05180549621582,2.5199477672576904,0.10931672001446327
walking-on-leafs-forestSmallOffice.wav,walking_on_leaf,22.979188919067383,2.5295310020446777,0.11007921171428968
smoothie-partyReverbHall.wav,smoothie,27.017709732055664,9.783183097839355,0.36210260584123144
smoothie-partyOperaHall.wav,smoothie,14.7412691116333,11.145970344543457,0.7561065645119688
smoothie-party.wav,smoothie,14.070693969726562,17.295040130615234,1.229153314529186
smoothie-partySmallOffice.wav,smoothie,14.021708488464355,16.762256622314453,1.195450371550995
drum-kit24SmallOffice.wav,drum_kit,72.33627319335938,41.10756301879883,0.5682842259362152
drum-kit24.wav,drum_kit,85.50415802001953,54.4328727722168,0.6366108272707878
drum-kit24OperaHall.wav,drum_kit,113.52201843261719,21.594924926757812,0.1902267527032725
drum-kit24ReverbHall.wav,drum_kit,193.7837371826172,16.944189071655273,0.08743865361460891
traffic_reverb.wav,traffic,128.6802520751953,5.113381862640381,0.03973711412728921
traffic_opera.wav,traffic,161.34242248535156,5.664081573486328,0.03510596584726857
traffic_sound.wav,traffic,2.7756850719451904,2.8213531970977783,1.0164529202589196
traffic_small.wav,traffic,86.63813018798828,4.306397914886475,0.049705573118238
drums_raw.wav,drums,89.82243347167969,4.936004161834717,0.054952910660019026
drums_small.wav,drums,1177.6611328125,32.99898147583008,0.02802077826668325
drums_opera.wav,drums,92.98381805419922,5.01878023147583,0.05397477041166926
drums_reverb.wav,drums,87.37091064453125,4.238196849822998,0.048508099761785835
